name,description,email,facebook,instagram,twitter_x,web
EMC,"Electromagnetics Council (EMC) is a technical chapter under the IEEE UPRM Student Branch dedicated to promoting Applied Electromagnetics, antennas, microwave engineering, and electromagnetic compatibility. Through workshops, seminars, technical projects, and professional activities, EMC helps students strengthen their theoretical knowledge while gaining practical experience and leadership skills.",emc.uprm@gmail.com,https://www.facebook.com/emc.uprm,_,_,https://linktr.ee/ieee.uprm
IEEE,"The IEEE UPRM Student Branch is committed to advancing technology for humanity by fostering technical excellence, leadership, and professional development. The branch coordinates multiple IEEE societies, organizes workshops, conferences, outreach activities, networking events, industry collaborations, and technical competitions for engineering students.",ieee@uprm.edu,https://www.facebook.com/ieee.uprm/,https://www.instagram.com/ieee.uprm/,https://x.com/IEEEUPRM,https://linktr.ee/ieee.uprm
CAHSI,"The Computing Alliance of Hispanic-Serving Institutions (CAHSI) Student Chapter promotes the academic and professional success of Hispanic students pursuing computing degrees. Members participate in undergraduate research, mentoring, leadership development, graduate school preparation, internships, and networking opportunities with universities and industry partners.",cahsi@uprm.edu,https://www.facebook.com/uprm.cahsi,https://www.instagram.com/cahsi_uprm,https://x.com/cahsi_uprm,https://cahsi.utep.edu
IEEE Women in Engineering,"IEEE Women in Engineering (WIE) empowers women pursuing careers in engineering, science, and technology through leadership development, mentorship, technical workshops, networking events, outreach programs, and professional growth opportunities while promoting diversity within STEM.",wie@uprm.edu,https://www.facebook.com/wie.uprm,https://www.instagram.com/wieuprm,https://x.com/wieuprm,https://www.uprm.edu/engineering/2024/02/28/ieee-women-in-engineering/
IEEE Eta Kappa Nu (HKN),"IEEE-HKN Lambda Tau is the official honor society chapter for outstanding engineering students at UPRM. Members are recognized for academic excellence, leadership, character, and service while participating in tutoring, mentoring, outreach, and professional development activities.",hkn.uprm@gmail.com,https://www.facebook.com/hkn.uprm,https://www.instagram.com/hkn_lambdatau,https://x.com/IEEE_EtaKappaNu,https://hkn.ieee.org/
IEEE Robotics and Automation Society & Control Systems Society,"The IEEE Robotics and Automation Society (RAS) and Control Systems Society (CSS) promote robotics, automation, embedded systems, autonomous systems, and control engineering through workshops, competitions, research projects, outreach activities, and multidisciplinary collaboration among engineering students.",ras.uprm@gmail.com,https://www.facebook.com/RAS.UPRM,https://www.instagram.com/ras.uprm,https://x.com/ieeeras?lang=en,https://linktr.ee/ras.uprm
IEEE Computer Society,"IEEE Computer Society is the leading technical organization for students interested in Computer Engineering, Computer Science, Software Engineering, Artificial Intelligence, Cybersecurity, and Data Science. The chapter provides technical workshops, programming competitions, networking opportunities, industry talks, and collaborative software projects.",computersociety@uprm.edu,https://www.facebook.com/computersociety.uprm,https://www.instagram.com/computersocietyuprm_/,https://x.com/SocietyIeee,https://nexo.uprm.edu/associations/153
Circuits and Systems Society,"The IEEE Circuits and Systems Society (CASS) Student Chapter at UPRM promotes education and innovation in analog and digital circuits, VLSI, embedded systems, signal processing, integrated circuit design, and emerging technologies. Members participate in technical workshops, distinguished lectures, research projects, competitions, and professional development activities.",cas@uprm.edu,https://www.facebook.com/cas.uprm,https://www.instagram.com/cas_uprm/,https://x.com/cas_uprm,https://linktr.ee/cas_uprm
Power & Energy Society,"IEEE Power & Energy Society (PES) prepares students for careers in electric power systems, renewable energy, smart grids, power electronics, and sustainable energy technologies. The chapter organizes technical seminars, industrial visits, networking events, outreach activities, and professional workshops while connecting students with industry leaders.",pes.upr@gmail.com,https://www.facebook.com/ieeePES/,https://www.instagram.com/pes.uprm/,https://x.com/PESuprm/with_replies?lang=bg,https://linktr.ee/pes.uprm
Association for Computing Machinery (ACM),"The Association for Computing Machinery (ACM) Computer Science and Engineering Student Chapter creates an environment where students develop technical and professional skills through programming workshops, hackathons, software projects, technical talks, research opportunities, and networking events.",acm-students@upr.edu,https://www.facebook.com/ACM.ECE,https://www.instagram.com/acmbauprm/,https://x.com/TheOfficialACM/highlights,https://www.acm.org/
Association for Computing Machinery - Women's Chapter (ACM-W),"ACM-W supports and empowers women and underrepresented groups in computing by providing mentorship, technical workshops, networking events, leadership opportunities, outreach programs, resume development, and professional growth while fostering an inclusive computing community.",acmw.uprm@gmail.com,https://www.facebook.com/acmwuprm,https://www.instagram.com/acmw.uprm/,_,https://linktr.ee/acmwuprm
HackPR,"HackPR is a student organization dedicated to fostering innovation, entrepreneurship, and software development through hackathons, programming competitions, technical workshops, industry talks, collaborative projects, and networking opportunities.",hackpr.uprm@gmail.com,https://www.facebook.com/HackPRUPRM,_,_,https://www.cienciapr.org/es/hackpr
Society of Hispanic Professional Engineers (SHPE),"The Society of Hispanic Professional Engineers (SHPE) empowers Hispanic students pursuing STEM careers through leadership development, mentorship, scholarships, networking opportunities, professional workshops, conferences, outreach activities, and connections with industry partners.",enterprise.shpe.uprm@gmail.com,https://www.facebook.com/SHPEUPRM,https://www.instagram.com/shpeuprm,https://x.com/SHPE?lang=en,https://linktr.ee/SHPE.UPRM
Engineering in Medicine and Biology Society (EMBS),"The IEEE Engineering in Medicine and Biology Society (EMBS) at UPRM is a student-led organization dedicated to advancing biomedical innovation through research exposure, technical workshops, laboratory experiences, professional development, mentorship, and collaboration between engineering and healthcare disciplines.",embs@uprm.edu,https://www.facebook.com/Engineering-in-Medicine-and-Biology-Society-UPRM-Student-Chapter-EMB-161103697313966,https://www.instagram.com/embsuprm/,https://x.com/EMBuprm,https://www.uprm.edu/embs/
Photonics Society,"The IEEE Photonics Society Student Chapter promotes education and research in photonics, fiber optics, lasers, optical communications, imaging systems, quantum electronics, and emerging light-based technologies. Members participate in technical workshops, research activities, outreach events, and professional development.",uprop.sc@gmail.com,https://www.facebook.com/PhotonicsSociety/,https://www.instagram.com/ieeephotonics/?hl=en,https://x.com/IEEEPhotonics,https://nexo.uprm.edu/associations/91
Institute of Industrial and Systems Engineers (IISE),"The Institute of Industrial and Systems Engineers (IISE) is the world's largest professional society dedicated to Industrial and Systems Engineering. The UPRM chapter prepares students through leadership development, technical workshops, plant visits, networking events, conferences, community outreach, and professional growth opportunities.",iise@uprm.edu,https://www.facebook.com/iiseuprm,https://www.instagram.com/iise.uprm/,https://x.com/iiseuprm,https://www.uprm.edu/feriadeinvestigaciones/institute-of-industrial-and-system-engineers-iise-uprm-chapter/
